,index,x,y,docks_num,centrality,centrali_1,AD
79.0,"Chancery Lane, Holborn",531159.151111666,181174.57924005497,15,0.046277061993626,0.075965130759651,0.004791637641490803
80.0,"Panton Street, West End",529765.455658193,180618.75179520497,21,0.04851287625997,0.115815691158157,0.00666851317668295
81.0,"Breams Buildings, Holborn",531115.126366272,181354.977105511,25,0.05619131338575,0.103362391033624,0.008156734958389082
82.0,"Tanner Street, Bermondsey",533463.089015833,179724.508465648,41,0.02643009979597,0.136986301369863,0.005751750506815917
83.0,"Sancroft Street, Vauxhall",530957.216164684,178412.770663108,24,0.00856212642691,0.051058530510585,0.004365982434422977
84.0,"Devonshire Square, Liverpool Street",533339.669973157,181475.178572103,16,0.064119368700479,0.146948941469489,0.003712586967977053
85.0,"Bayley Street , Bloomsbury",529699.1746986529,181617.647514845,25,0.063211912508589,0.144458281444583,0.008048181067000433
86.0,"Tavistock Place, Bloomsbury",530273.39471655,182478.357280483,19,0.023420571817406,0.093399750933998,0.0045805957044548675
87.0,"Harrington Square 1, Camden Town",529158.242569782,183208.861943234,27,0.028595299611674,0.099626400996264,0.0035808991015315976
88.0,"Walnut Tree Walk, Vauxhall",531230.637200178,178884.828405625,20,0.015280872249017,0.105853051058531,0.0036663126088582925
89.0,"Borough Road, Elephant & Castle",531948.137706595,179495.844849092,41,0.03037325668586,0.078455790784558,0.009279399433249217
90.0,"Cloudesley Road, Angel",531256.391338131,183417.42093930696,37,0.005056829678038,0.085927770859278,0.007605689490127797
91.0,"Bricklayers Arms, Borough",532975.366984215,179079.150643688,28,0.022721460300392,0.134495641344956,0.00316054790454072
92.0,"Aldersgate Street, Barbican",532097.620148101,181928.946067389,15,0.060054168369054,0.179327521793275,0.0033606458079381185
93.0,"Falkirk Street, Hoxton",533372.734966002,183088.069121974,26,0.009794551001564,0.052303860523039,0.004983064777896986
94.0,"Gloucester Road (North), Kensington",526169.579975375,179228.129714801,18,0.01588984862772,0.114570361145704,0.003479904973191355
95.0,"Hampstead Road, Euston",529246.875973423,182368.982886032,54,0.039728609662998,0.13947696139477,0.014528483496686657
96.0,"Old Quebec Street, Marylebone",527896.515332111,181125.569140047,16,0.057255764944608,0.185554171855542,0.0030864359507907207
97.0,"Albert Embankment, Vauxhall",530421.495915156,178502.404595273,24,0.028266911136394,0.083437110834371,0.00425038715370378
98.0,"Queen Street 1, Bank",532439.340334585,180903.318805743,22,0.162685405623546,0.410958904109589,0.02195747563796762
99.0,"Jewry Street, Aldgate",533554.241011832,181140.980333295,17,0.053098157548685,0.169364881693649,0.004439062347960761
100.0,"Vicarage Gate, Kensington",525538.5898342868,179967.962807336,18,0.006960953274208,0.059775840597758,0.0027671681453595577
101.0,"Crosswall, Tower",533531.9749795832,180932.68060897896,34,0.063072078241709,0.288916562889166,0.006180920646223788
102.0,"Westbourne Grove, Bayswater",525670.7166438169,181179.44555407297,26,0.009867081036269,0.085927770859278,0.00392627623494184
103.0,"Woodstock Street, Mayfair",528652.423115768,181089.407255321,21,0.024442326113186,0.067247820672478,0.007590666579105033
104.0,"Finsbury Leisure Centre, St. Luke's",532150.109448254,182504.014270251,20,0.042200081226161,0.158156911581569,0.0039845415068624004
105.0,"Abbey Orchard Street, Westminster",529757.7544171449,179336.432131898,29,0.086377045136481,0.180572851805729,0.005788804415947263
106.0,"Soho Square , Soho",529687.629798258,181291.32720274696,57,0.068796154283752,0.176836861768369,0.013752910105544119
107.0,"Wellington Road, St. John's Wood",526847.222161786,183149.10879014,17,0.023142609545508,0.094645080946451,0.0014766751008905875
108.0,"Park Lane , Hyde Park",527977.211263324,180620.657651964,28,0.026390855995454,0.069738480697385,0.0069787717538331885
