index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance,leisure,residence,shopping,university,restaurant
"Euston Road, Euston",529520.245862314943224,182453.673810318985488,66.000000000000000,529520.245862314943224,182453.673810318985488,"24",0.0073924,200.000000,762.81994,"10","1",0.1170610210,0.1955168120,5.40802,0.0188204610,0.0387742220,2.00000,5.00000,2.00000,2.00000,3.00000,1.00000
"Calshot Street , King's Cross",530709.243740585050546,183064.250965348008322,67.000000000000000,530709.243740585050546,183064.250965348008322,"24",0.0051233,200.000000,3109.09528,"5","0",0.0336239100,0.1145703610,6.28167,0.0052648420,0.0204415580,0.00001,5.00000,3.00000,5.00000,0.00001,5.00000
"Newgate Street , St. Paul's",532010.937802540021949,181318.643904325988842,68.000000000000000,532010.937802540021949,181318.643904325988842,"34",0.0132111,200.000000,103.44975,"7","1",0.2303860520,0.3686176830,5.09110,0.1160543020,0.0376872190,0.00001,2.00000,1.00000,0.00001,0.00001,0.00001
"Farringdon Lane, Clerkenwell",531332.231237204978243,182209.291928035003366,69.000000000000000,531332.231237204978243,182209.291928035003366,"16",0.0034452,200.000000,775.23311,"5","0",0.1033623910,0.2278953920,6.21795,0.0447502880,0.0316665300,1.00000,1.00000,1.00000,2.00000,0.00001,4.00000
"Old Street Station, St. Luke's",532621.476193954003975,182457.722370286006480,70.000000000000000,532621.476193954003975,182457.722370286006480,"29",0.0086345,200.000000,1883.29313,"5","1",0.2092154420,0.4844333740,17.78583,0.0765928180,0.0748879800,2.00000,0.00001,2.00000,1.00000,0.00001,2.00000
"Vauxhall Cross, Vauxhall",530322.388847133959644,177995.752432845998555,71.000000000000000,530322.388847133959644,177995.752432845998555,"17",0.0030930,200.000000,1728.75509,"12","2",0.2067247820,0.3773349930,5.01242,0.0460134850,0.0575926190,0.00001,2.00000,0.00001,3.00000,0.00001,2.00000
"Torrens Street, Angel",531502.659136787056923,183173.432060032995651,72.000000000000000,531502.659136787056923,183173.432060032995651,"19",0.0036107,200.000000,1178.26094,"11","1",0.0635118300,0.1544209210,6.41084,0.0078460750,0.0328325250,2.00000,1.00000,0.00001,2.00000,0.00001,2.00000
"Longford Street, The Regent's Park",528845.597073624026962,182381.349983452004381,73.000000000000000,528845.597073624026962,182381.349983452004381,"21",0.0032459,200.000000,1358.83643,"5","0",0.0635118300,0.1369863010,0.00001,0.0179509600,0.0169633960,0.00001,4.00000,2.00000,0.00001,0.00001,0.00001
"Russell Square Station, Bloomsbury",530229.511121556046419,182164.847379766986705,74.000000000000000,530229.511121556046419,182164.847379766986705,"26",0.0075323,200.000000,2260.71493,"5","1",0.1095890410,0.3001245330,26.51910,0.0473442930,0.0517880930,0.00001,2.00000,0.00001,1.00000,1.00000,0.00001
"Sadlers Sports Centre, Finsbury",531946.788105609011836,182374.535015236993786,75.000000000000000,531946.788105609011836,182374.535015236993786,"17",0.0038289,200.000000,2528.00937,"6","0",0.1095890410,0.2291407220,0.00001,0.0408833880,0.0382708880,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Arundel Street, Temple",530978.225998551002704,180884.268120202992577,76.000000000000000,530978.225998551002704,180884.268120202992577,"18",0.0052352,200.000000,139.75046,"8","1",0.0597758400,0.1344956410,2.35484,0.0313403700,0.0165803540,1.00000,14.00000,5.00000,0.00001,0.00001,1.00000
"Webber Street , Southwark",531831.279793901019730,179689.471475275000557,77.000000000000000,531831.279793901019730,179689.471475275000557,"45",0.0111230,200.000000,1619.41523,"0","0",0.1207970110,0.2004981320,5.06997,0.0342584090,0.0383276880,0.00001,0.00001,0.00001,2.00000,0.00001,0.00001
"Great Titchfield Street, Fitzrovia",529048.465144866961055,181784.114143234997755,78.000000000000000,529048.465144866961055,181784.114143234997755,"19",0.0052239,200.000000,2760.02188,"1","0",0.0971357410,0.2241594020,11.28522,0.0446108580,0.0264881880,0.00001,3.00000,0.00001,2.00000,0.00001,5.00000
"Chancery Lane, Holborn",531159.151111665996723,181174.579240054998081,79.000000000000000,531159.151111665996723,181174.579240054998081,"15",0.0047916,200.000000,166.48667,"3","0",0.0759651300,0.1668742210,33.18609,0.0462770620,0.0255253590,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Panton Street, West End",529765.455658192979172,180618.751795204996597,80.000000000000000,529765.455658192979172,180618.751795204996597,"21",0.0066685,200.000000,282.52958,"7","0",0.1158156910,0.3748443330,0.00001,0.0485128760,0.0607723480,0.00001,14.00000,4.00000,8.00000,0.00001,31.00000
"Breams Buildings, Holborn",531115.126366271986626,181354.977105511003174,81.000000000000000,531115.126366271986626,181354.977105511003174,"25",0.0081567,200.000000,210.92665,"0","0",0.1033623910,0.2266500620,33.18609,0.0561913130,0.0200053510,0.00001,3.00000,1.00000,2.00000,0.00001,6.00000
"Tanner Street, Bermondsey",533463.089015832985751,179724.508465647988487,82.000000000000000,533463.089015832985751,179724.508465647988487,"41",0.0057518,200.000000,1853.32412,"6","0",0.1369863010,0.2428393520,9.41092,0.0264300990,0.0434846560,0.00001,3.00000,1.00000,3.00000,0.00001,4.00000
"Sancroft Street, Vauxhall",530957.216164684039541,178412.770663108007284,83.000000000000000,530957.216164684039541,178412.770663108007284,"24",0.0043660,200.000000,2722.77084,"2","0",0.0510585300,0.1070983810,12.84108,0.0085621260,0.0248242110,0.00001,1.00000,0.00001,0.00001,0.00001,0.00001
