index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,finance,food_drink,hospital,residence,leisure,shopping,school,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance1,leisure1,residence1,restaurant,university,shopping1,tube_acce
"Holborn Circus, Holborn",531324.0239,181581.1251,63,531324.0239,181581.1251,40,0.0183706,200,1,7,0.00001,1,2,0.00001,0.00001,516.07772,9,0.00001,0.237858032,0.407222914,4.01754,0.1235683,0.048049092,1,0.00001,0.00001,1,0.00001,0.00001,0.09873
"Hatton Garden, Holborn",531372.0467,181686.9263,64,531372.0467,181686.9263,28,0.0089114,200,7,12,1,2,0.00001,40,0.00001,792.95944,8,0.00001,0.168119551,0.297633873,50.93765,0.075620294,0.034600863,7,0.00001,0.00001,3,0.00001,35,0.09261
"Theobald's Road , Holborn",530757.9257,181873.0244,65,530757.9257,181873.0244,26,0.0060356,200,0.00001,7,2,1,2,11,2,1415.74099,3,0.00001,0.119551681,0.273972602,8.6521,0.047437986,0.039091399,0.00001,0.00001,0.00001,1,1,8,0.09041
"Euston Road, Euston",529520.2459,182453.6738,66,529520.2459,182453.6738,24,0.0073924,200,2,7,0.00001,2,5,2,5,762.81994,10,1,0.117061021,0.195516812,5.40802,0.018820461,0.038774222,2,0.00001,0.00001,1,3,1,0.8851
"Calshot Street , King's Cross",530709.2437,183064.251,67,530709.2437,183064.251,24,0.0051233,200,0.00001,11,1,3,5,5,1,3109.09528,5,0.00001,0.03362391,0.114570361,6.28167,0.005264842,0.020441558,0.00001,0.00001,2,5,0.00001,0.00001,0.05945
"Newgate Street , St. Paul's",532010.9378,181318.6439,68,532010.9378,181318.6439,34,0.0132111,200,0.00001,1,0.00001,1,2,0.00001,0.00001,103.44975,7,1,0.230386052,0.368617683,5.0911,0.116054302,0.037687219,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,5.38409
"Farringdon Lane, Clerkenwell",531332.2312,182209.2919,69,531332.2312,182209.2919,16,0.0034452,200,1,10,1,1,1,2,0.00001,775.23311,5,0.00001,0.103362391,0.227895392,6.21795,0.044750288,0.03166653,1,0.00001,0.00001,4,0.00001,0.00001,0.07128
"Old Street Station, St. Luke's",532621.4762,182457.7224,70,532621.4762,182457.7224,29,0.0086345,200,2,2,0.00001,2,0.00001,1,0.00001,1883.29313,5,1,0.209215442,0.484433374,17.78583,0.076592818,0.07488798,2,0.00001,0.00001,2,0.00001,0.00001,0.31576
"Vauxhall Cross, Vauxhall",530322.3888,177995.7524,71,530322.3888,177995.7524,17,0.003093,200,0.00001,3,2,0.00001,2,3,0.00001,1728.75509,12,2,0.206724782,0.377334993,5.01242,0.046013485,0.057592619,0.00001,0.00001,0.00001,2,0.00001,0.00001,18.4534
"Torrens Street, Angel",531502.6591,183173.4321,72,531502.6591,183173.4321,19,0.0036107,200,2,6,1,0.00001,1,2,0.00001,1178.26094,11,1,0.06351183,0.154420921,6.41084,0.007846075,0.032832525,2,0.00001,0.00001,2,0.00001,1,1.70357
"Longford Street, The Regent's Park",528845.5971,182381.35,73,528845.5971,182381.35,21,0.0032459,200,0.00001,0.00001,0.00001,2,4,0.00001,1,1358.83643,5,0.00001,0.06351183,0.136986301,0.00001,0.01795096,0.016963396,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.13316
