index,nearest_x,nearest_y,station_id,x,y,centrality,centrali_1,docks_num
"Stebondale Street, Cubitt Town",538309.034166204975918,178562.659137331997044,440.000000000000000,538309.034166204975918,178562.659137331997044,0.004224014702142,0.013698630136986,"29"
"Spindrift Avenue, Millwall",537645.694074459024705,178761.893762294988846,441.000000000000000,537645.694074459024705,178761.893762294988846,0.003524566204207,0.032378580323786,"36"
"Stepney Green Station, Stepney",535615.846700876951218,182133.144104375009192,442.000000000000000,535615.846700876951218,182133.144104375009192,0.014158101159861,0.115815691158157,"21"
"Pott Street, Bethnal Green",534810.779856267035939,182707.890821401990252,443.000000000000000,534810.779856267035939,182707.890821401990252,0.007407857665630,0.073474470734745,"20"
"Flamborough Street, Limehouse",536173.490876134950668,181149.479103979014326,444.000000000000000,536173.490876134950668,181149.479103979014326,0.009546545344516,0.122042341220423,"25"
"Saunders Ness Road, Cubitt Town",538331.017190517974086,178346.500541637011338,445.000000000000000,538331.017190517974086,178346.500541637011338,0.003407874217914,0.037359900373599,"35"
"Exhibition Road Museums 2, South Kensington",526874.533145535970107,179025.876387388008879,446.000000000000000,526874.533145535970107,179025.876387388008879,0.018150239570000,0.063511830635118,"14"
"Albert Gardens, Stepney",535564.255924712051637,181189.441036961012287,447.000000000000000,535564.255924712051637,181189.441036961012287,0.003919664749116,0.068493150684932,"33"
"Bromley High Street, Bow",537917.888147340971045,182978.373409363994142,448.000000000000000,537917.888147340971045,182978.373409363994142,0.002759395651449,0.061021170610212,"24"
"Old Ford Road, Bethnal Green",535492.380418663960882,183165.932232479011873,449.000000000000000,535492.380418663960882,183165.932232479011873,0.005644496013254,0.059775840597758,"24"
"Granby Street, Shoreditch",534015.514449730049819,182515.258523994009010,450.000000000000000,534015.514449730049819,182515.258523994009010,0.011968386843262,0.097135740971357,"37"
"Canton Street, Poplar",537103.889091672957875,181056.353427085996373,451.000000000000000,537103.889091672957875,181056.353427085996373,0.005988968786654,0.021170610211706,"23"
"Reardon Street, Wapping",534830.330649737967178,180454.972110764996614,452.000000000000000,534830.330649737967178,180454.972110764996614,0.008040369388503,0.082191780821918,"22"
"Pennington Street, Wapping",534380.239241164992563,180635.482920406997437,453.000000000000000,534380.239241164992563,180635.482920406997437,0.014640124436844,0.066002490660025,"45"
"Queen Mary's, Mile End",535978.073615098954178,182219.644053861004068,454.000000000000000,535978.073615098954178,182219.644053861004068,0.012322018827156,0.109589041095890,"45"
"Maplin Street, Mile End",536601.375948844011873,182568.645483422995312,455.000000000000000,536601.375948844011873,182568.645483422995312,0.006411330073055,0.092154420921544,"39"
"Bow Church Station, Bow",537535.348587992950343,182887.613776546000736,456.000000000000000,537535.348587992950343,182887.613776546000736,0.003047730586707,0.090909090909091,"39"
"Devons Road, Bow",537757.418344823992811,182553.779736916010734,457.000000000000000,537757.418344823992811,182553.779736916010734,0.007705805374107,0.044831880448319,"39"
"Merchant Street, Bow",536923.912872669985518,182695.538617190992227,458.000000000000000,536923.912872669985518,182695.538617190992227,0.002647965864538,0.051058530510585,"27"
"Bow Road Station, Bow",537080.578948845039122,182754.528155386011349,459.000000000000000,537080.578948845039122,182754.528155386011349,0.007185335185075,0.082191780821918,"41"
"Furze Green, Bow",537374.398698784993030,181897.553861377004068,460.000000000000000,537374.398698784993030,181897.553861377004068,0.004770939469788,0.073474470734745,"36"
"Ansell House, Stepney",535083.643256288021803,181918.954950543993618,461.000000000000000,535083.643256288021803,181918.954950543993618,0.008227502589985,0.089663760896638,"41"
"Cephas Street, Bethnal Green",535042.516371113946661,182194.174907860986423,462.000000000000000,535042.516371113946661,182194.174907860986423,0.016810957344005,0.069738480697385,"24"
"Bonner Gate, Victoria Park",535375.694480145000853,183411.429137013008585,463.000000000000000,535375.694480145000853,183411.429137013008585,0.006570943397657,0.093399750933998,"21"
"Cleveland Way, Stepney",535289.056690540048294,182018.850447951990645,464.000000000000000,535289.056690540048294,182018.850447951990645,0.014325237168487,0.113325031133250,"36"
