Start.station,End.station,Counts
"Tooley Street, Bermondsey","Houndsditch, Aldgate",18
"Macclesfield Rd, St Lukes","Finsbury Circus, Liverpool Street",18
"Cloudesley Road, Angel","Finsbury Circus, Liverpool Street",18
"Kennington Cross, Kennington","Kennington Lane Rail Bridge, Vauxhall",18
"Christopher Street, Liverpool Street","Guilford Street , Bloomsbury",17
"Flamborough Street, Limehouse","London Fields, Hackney Central",17
"Ethelburga Estate, Battersea Park","Rampayne Street, Pimlico",17
"Waterloo Station 1, Waterloo","New Fetter Lane, Holborn",17
"Battersea Power Station, Battersea Park","Upcerne Road, West Chelsea",17
"Westfield Southern Terrace ,Shepherd's Bush","BBC White City, White City",17
"Fulham Broadway, Walham Green","South Park, Sands End",17
"Watney Street, Shadwell","Granby Street, Shoreditch",17
"Hortensia Road, West Brompton","Royal Avenue 2, Chelsea",17
"Pott Street, Bethnal Green","Wellington Row, Bethnal Green",17
"Tyers Gate, Bermondsey","Heron Quays DLR, Canary Wharf",17
"Usk Road, Clapham Junction","Park Lane , Hyde Park",17
"Gloucester Terrace, Bayswater","Curzon Street, Mayfair",17
"Grant Road East, Clapham Junction","Erin Close, Walham Green",17
"Sea Containers, South Bank","Wood Street, Guildhall",17
"Wenlock Road , Hoxton","Falkirk Street, Hoxton",17
"Walnut Tree Walk, Vauxhall","Cheapside, Bank",17
"Claremont Square, Angel","Fore Street Avenue, Guildhall",17
"Islington Green, Angel","Pindar Street, Liverpool Street",17
"Furze Green, Bow","Queen Mary's, Mile End",17
"Vincent Street, Pimlico","Ashley Place, Victoria",17
"Rodney Road , Walworth","Bermondsey Station, Bermondsey",17
"Baker Street, Marylebone","Warwick Avenue Station, Maida Vale",17
"Lollard Street, Vauxhall","Red Lion Street, Holborn",17
"Hortensia Road, West Brompton","Penywern Road, Earl's Court",17
"Kennington Lane Rail Bridge, Vauxhall","Butler Place, Westminster",17
"Pritchard's Road, Bethnal Green","Bancroft Road, Bethnal Green",17
"Neville Gill Close, Wandsworth","Battersea Power Station, Battersea Park",17
"Canton Street, Poplar","Tower Gardens , Tower",17
"Warren Street Station, Euston","Little Argyll Street, West End",17
"Shoreditch Park, Hoxton","Worship Street, Shoreditch",17
"Eversholt Street , Camden Town","Beaumont Street, Marylebone",17
"Hop Exchange, The Borough","Blackfriars Road, Southwark",17
"Waterloo Station 3, Waterloo","Old Street Station, St. Luke's",17
"Belgrove Street , King's Cross","Broadwick Street, Soho",17
"Walworth Square, Walworth","Moorfields, Moorgate",17
"Falcon Road, Clapham Junction","Battersea Park Road, Nine Elms",17
"George Place Mews, Marylebone","Marylebone Lane, Marylebone",17
"Baylis Road, Waterloo","Brushfield Street, Liverpool Street",17
"Dock Street, Wapping","Duke Street Hill, London Bridge",17
"Flamborough Street, Limehouse","Maplin Street, Mile End",17
"Empire Square, The Borough","Victory Place, Walworth",17
"Fulham Broadway, Walham Green","Kensington Church Street, Kensington",17
"Falcon Road, Clapham Junction","Derry Street, Kensington",17
"Waterloo Station 3, Waterloo","Bouverie Street, Temple",17
"Coram Street, Bloomsbury","Sun Street, Liverpool Street",17
"Osiers Road, Wandsworth","Upper Richmond Road, Putney",17
"Edgware Road Station, Marylebone","Prince Consort Road, Knightsbridge",17
"Bonny Street, Camden Town","Hampstead Road, Euston",17
"LMU Commercial Road, Whitechapel","Norton Folgate, Liverpool Street",17
"St. Mary Axe, Aldgate","Foley Street, Fitzrovia",17
"Lansdowne Drive, Hackney Central","London Fields, Hackney Central",17
"Sloane Avenue, Knightsbridge","Sloane Avenue, Knightsbridge",17
"Orbel Street, Battersea","Exhibition Road Museums 2, South Kensington",17
"Snowsfields, London Bridge","Stamford Street, South Bank",17
"Finsbury Leisure Centre, St. Luke's","Aldersgate Street, Barbican",17
"Northington Street , Holborn","Bunhill Row, Moorgate",17
"Smith Square, Westminster","Whitehall Place, Strand",17
"Smugglers Way, Wandsworth","Queen's Gate (Central), South Kensington",17
"Aintree Street, Fulham","Trebovir Road, Earl's Court",17
"Wormwood Street, Liverpool Street","Strand, Strand",17
"Finsbury Leisure Centre, St. Luke's","Fore Street Avenue, Guildhall",17
"Kennington Road Post Office, Oval","Godliman Street, St. Paul's",17
"Grosvenor Road, Pimlico","Seville Street, Knightsbridge",17
"Waterloo Station 2, Waterloo","The Guildhall, Guildhall",17
"Bishop's Bridge Road West, Bayswater","Little Argyll Street, West End",17
"Bishop's Bridge Road West, Bayswater","Notting Hill Gate Station, Notting Hill",17
"Collingham Gardens, Earl's Court","Derry Street, Kensington",17
"Twig Folly Bridge, Mile End","Moorfields, Moorgate",17
"Dorset Square, Marylebone","Paddington Street, Marylebone",17
"Farringdon Lane, Clerkenwell","Jubilee Plaza, Canary Wharf",17
"Kennington Lane Rail Bridge, Vauxhall","Page Street, Westminster",17
"Braham Street, Aldgate","Finsbury Circus, Liverpool Street",17
"Driffield Road, Old Ford","Cadogan Close, Victoria Park",17
"World's End Place, West Chelsea","St. James's Square, St. James's",17
"Collingham Gardens, Earl's Court","St. George Street, Mayfair",17
"Tower Wharf, Bermondsey","Newgate Street , St. Paul's",17
"Baylis Road, Waterloo","Vauxhall Walk, Vauxhall",16
"The Vale, Chelsea","Sedding Street, Sloane Square",16
"Hoxton Station, Hoxton","St. John Street, Finsbury",16
"Ossulston Street, Somers Town","Scala Street, Fitzrovia",16
"Grove End Road, St. John's Wood","Handyside Street, King's Cross",16
"Berry Street, Clerkenwell","Bolsover Street, Fitzrovia",16
"Waterloo Station 3, Waterloo","Clifton Street, Shoreditch",16
"Manresa Road, Chelsea","Beaumont Street, Marylebone",16
"Elysium Place, Fulham","Parsons Green Station, Parsons Green",16
"Canada Water Station, Rotherhithe","Empire Square, The Borough",16
"Thurtle Road, Haggerston","Bell Lane, Liverpool Street",16
"Westbourne Grove, Bayswater","Eastbourne Mews, Paddington",16
"Cleveland Gardens, Bayswater","Porchester Place, Paddington",16
"Jubilee Street, Stepney","Upper Bank Street, Canary Wharf",16
"Wormwood Street, Liverpool Street","Breams Buildings, Holborn",16
"Bow Church Station, Bow","Gascoyne Road, Victoria Park",16
"Lots Road, West Chelsea","Ram Street, Wandsworth",16
"Great Percy Street, Clerkenwell","Farringdon Lane, Clerkenwell",16
"Sail Street, Vauxhall","St. Mary Axe, Aldgate",16
"Saltoun Road, Brixton","Hop Exchange, The Borough",16
"Belgrove Street , King's Cross","William IV Street, Strand",16
"Allington Street, Victoria","St. George Street, Mayfair",16
"West Cromwell Road, Earl's Court","Holy Trinity Brompton, Knightsbridge",16
"Pritchard's Road, Bethnal Green","Broadcasting House, Marylebone",16
"Golden Lane, Barbican","Southampton Place, Holborn",16
"Old Montague Street, Whitechapel","Shoreditch High Street, Shoreditch",16
"Waterloo Station 3, Waterloo","Bankside Mix, Bankside",16
"Pitfield Street North,Hoxton","Leonard Circus , Shoreditch",16
"Arundel Street, Temple","Hatton Garden, Holborn",16
"Cheshire Street, Bethnal Green","Worship Street, Shoreditch",16
"Pitfield Street North,Hoxton","Tysoe Street, Clerkenwell",16
"Princes Square, Bayswater","Eastbourne Mews, Paddington",16
"Hatton Wall, Holborn","William IV Street, Strand",16
