index,finance,leisure,residence,restaurant,shopping,university
"Emperor's Gate, South Kensington",0.00001,1,1,9,6,1
"Empire Square, The Borough",1,2,1,1,4,0.00001
"Endsleigh Gardens, Euston",1,3,10,3,1,0.00001
"Erin Close, Walham Green",4,2,0.00001,6,5,0.00001
"Esmond Street, Putney",0.00001,1,1,0.00001,0.00001,0.00001
"Ethelburga Estate, Battersea Park",0.00001,1,3,1,0.00001,0.00001
"Euston Road, Euston",2,5,2,1,2,3
"Eversholt Street , Camden Town",0.00001,0.00001,2,0.00001,5,0.00001
"Evesham Street, Avondale",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Exhibition Road Museums 1, South Kensington",0.00001,2,4,6,3,0.00001
"Exhibition Road Museums 2, South Kensington",0.00001,2,0.00001,5,8,0.00001
"Exhibition Road, Knightsbridge",0.00001,3,0.00001,2,1,0.00001
"Falcon Road, Clapham Junction",2,5,0.00001,4,7,0.00001
"Falkirk Street, Hoxton",4,2,0.00001,7,5,0.00001
"Fanshaw Street, Hoxton",1,3,0.00001,1,2,0.00001
"Farm Street, Mayfair",0.00001,1,1,0.00001,5,0.00001
"Farringdon Lane, Clerkenwell",1,1,1,4,2,0.00001
"Farringdon Street, Holborn",2,11,1,5,0.00001,0.00001
"Fashion Street, Whitechapel",4,4,1,2,1,0.00001
"Fawcett Close, Battersea",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Felsham Road, Putney",3,3,2,3,2,0.00001
"Ferndale Road, Brixton",5,8,1,7,10,0.00001
"Finlay Street, Fulham",1,0.00001,0.00001,0.00001,0.00001,0.00001
"Finnis Street, Bethnal Green",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Finsbury Circus, Liverpool Street",4,0.00001,5,6,9,0.00001
"Finsbury Leisure Centre, St. Luke's",1,0.00001,0.00001,2,1,1
"Finsbury Library , Finsbury",1,2,0.00001,0.00001,2,0.00001
"Finsbury Square , Moorgate",2,0.00001,1,2,3,0.00001
"Fire Brigade Pier, Vauxhall",0.00001,6,0.00001,0.00001,1,0.00001
"Fisherman's Walk West, Canary Wharf",0.00001,23,1,6,22,0.00001
"Flamborough Street, Limehouse",2,1,1,1,3,1
"Flood Street, Chelsea",2,2,2,9,29,0.00001
"Foley Street, Fitzrovia",1,7,3,12,7,0.00001
